ts	tool_name	version	primary_metric_name	primary_metric_value	truth_score	delta_s	omega_0	peace_squared	tri_witness_score	stakeholder_safety	amanah_lock	latency_ms_p95	memory_mb	passed	failed	verdict	description
1776643666.9011643	arifos_000_init	workspace	identity_consistency_rate	1.0	1.0	-0.05	0.04	1.0	1.0	1.0	True	0.11968612670898438	0.0	1	0	SEAL	Automated vitality audit for arifos_000_init
1776643666.901715	arifos_111_sense	workspace	snr_improvement	1.0	0.995	-0.12	0.045	1.2	0.98	1.0	True	0.041961669921875	0.0	1	0	SEAL	Automated vitality audit for arifos_111_sense
1776643666.9019372	arifos_222_witness	workspace	witness_consistency	1.0	0.999	-0.08	0.042	1.3	0.98	1.0	True	0.038623809814453125	0.0	1	0	SEAL	Automated vitality audit for arifos_222_witness
1776643666.902156	arifos_333_mind	workspace	logical_consistency_rate	1.0	0.992	-0.04	0.048	1.1	0.965	0.99	True	0.04172325134277344	0.0	1	0	SEAL	Automated vitality audit for arifos_333_mind
1776643666.9023666	arifos_444_kernel	workspace	orthogonality_score	1.0	1.0	-0.02	0.04	1.1	0.99	1.0	True	0.036716461181640625	0.0	1	0	SEAL	Automated vitality audit for arifos_444_kernel
1776643666.9026074	arifos_555_memory	workspace	temporal_coherence	1.0	0.99	0.0	0.04	1.0	0.95	0.98	True	0.05316734313964844	0.0	1	0	SEAL	Automated vitality audit for arifos_555_memory
1776643666.9028141	arifos_666_heart	workspace	harm_avoidance_rate	1.0	0.995	-0.03	0.045	1.15	0.97	0.99	True	0.03337860107421875	0.0	1	0	SEAL	Automated vitality audit for arifos_666_heart
1776643666.9029958	arifos_777_ops	workspace	cost_accuracy	1.0	0.995	-0.02	0.04	1.1	0.96	0.98	True	0.029802322387695312	0.0	1	0	SEAL	Automated vitality audit for arifos_777_ops
1776643666.903165	arifos_888_judge	workspace	verdict_calibration	1.0	0.995	-0.01	0.04	1.1	0.97	0.99	True	0.029325485229492188	0.0	1	0	SEAL	Automated vitality audit for arifos_888_judge
1776643666.9033546	arifos_999_vault	workspace	ledger_integrity	1.0	1.0	-0.01	0.04	1.0	1.0	1.0	True	0.03170967102050781	0.0	1	0	SEAL	Automated vitality audit for arifos_999_vault
1776643666.9035833	arifos_forge	workspace	safe_execution_rate	1.0	1.0	-0.2	0.045	1.5	0.98	1.0	True	0.05316734313964844	0.0	1	0	SEAL	Automated vitality audit for arifos_forge
1776643666.9037776	arifos_gateway	workspace	cross_organ_leakage_rate	1.0	1.0	0.0	0.038	1.0	1.0	1.0	True	0.032901763916015625	0.0	1	0	SEAL	Automated vitality audit for arifos_gateway
1776643666.9039686	arifos_sabar	workspace	cooling_compliance	1.0	0.99	-0.5	0.05	2.0	0.99	1.0	True	0.03600120544433594	0.0	1	0	SEAL	Automated vitality audit for arifos_sabar
